state_abbr,year,counties,total_permitted_units,one_unit_permitted_units,multifamily_permitted_units,median_permits_per_1000_housing_units,median_mobile_home_share,median_risk_score
NC,2021,28,60693,40223,20470,14.341586061611864,0.12474762147787016,77.67175572519085
NC,2022,100,92047,65135,26912,9.960433037241721,0.173721013688137,71.86704834605598
NC,2023,100,98086,65593,32493,9.995297623571888,0.173721013688137,71.86704834605598
NC,2024,100,94595,69973,24622,10.430898044480948,0.173721013688137,71.86704834605598
NC,2025,100,85916,65153,20763,11.060185933347213,0.173721013688137,71.86704834605598
OK,2020,18,12535,11007,1528,6.433148442788347,0.11564866671273491,75.20674300254453
OK,2021,18,13364,12207,1157,7.021971982688302,0.11564866671273491,75.20674300254453
OK,2022,74,13802,11006,2796,1.4377819078324994,0.12415523531289169,59.764631043257
OK,2023,74,13101,10193,2908,1.1665439689402135,0.12415523531289169,59.764631043257
OK,2024,74,12859,10764,2095,1.2306327326385957,0.12415523531289169,59.764631043257
OK,2025,74,15118,11459,3659,1.3783010004218885,0.12415523531289169,59.764631043257
SC,2020,18,30335,24883,5452,15.405678824640706,0.17428204326637659,82.98346055979644
SC,2021,18,36820,31048,5772,18.07554926964045,0.17428204326637659,82.98346055979644
SC,2022,46,46055,37886,8169,10.021242394413722,0.220068049836454,78.10114503816794
SC,2023,46,42423,37122,5301,10.217453764319997,0.220068049836454,78.10114503816794
SC,2024,46,47220,40741,6479,9.63525819088877,0.220068049836454,78.10114503816794
SC,2025,46,45564,39652,5912,10.683704881820454,0.220068049836454,78.10114503816794
TN,2020,23,32264,18414,13850,12.814428096820125,0.1135393329669865,47.16921119592875
TN,2021,23,37377,20243,17134,14.16819012797075,0.1135393329669865,47.16921119592875
TN,2022,94,42944,33055,9889,7.002519712619578,0.15495841667668458,56.902035623409674
TN,2023,94,47701,31596,16105,6.689763676388997,0.15495841667668458,56.902035623409674
TN,2024,94,45033,33171,11862,6.5597026617473455,0.15495841667668458,56.902035623409674
TN,2025,94,43133,31330,11803,6.691551178774931,0.15495841667668458,56.902035623409674
TX,2020,53,172692,113495,59197,12.659908867175126,0.1150181002108872,75.54071246819338
TX,2021,53,200157,127716,72441,11.798193143847202,0.1150181002108872,75.54071246819338
TX,2022,225,263529,155120,108409,2.8040658955485456,0.1340473872119441,58.77862595419848
TX,2023,222,229639,147267,82372,2.6172616309907273,0.13543421926382565,58.921755725190835
